season,week,game.id,date,dow,team,opp,h.a,playerid,name,full_name,pos,dk.salary,fan_pts,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0024221,V.Davis,Vernon Davis,TE,2700,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,1,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0031257,P.Richardson,Paul Richardson,WR,3900,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0035297,K.Harmon,Kelvin Harmon,WR,3000,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0033528,J.Sprinkle,Jeremy Sprinkle,TE,2500,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090806,2019-09-08,Sun,WAS,PHI,a,00-0035659,T.McLaurin,Terry McLaurin,WR,3300,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0034857,J.Allen,Josh Allen,QB,5600,19.96,37,24,254,1,2,0,0,10,38,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,2,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0035250,D.Singletary,Devin Singletary,RB,3600,14.8,0,0,0,0,0,0,0,4,70,0,23,0,0,0,5,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0028581,P.DiMarco,Patrick DiMarco,RB,3000,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0023500,F.Gore,Frank Gore,RB,3800,2,0,0,0,0,0,0,0,11,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090805,2019-09-08,Sun,BUF,NYJ,a,00-0035689,D.Knox,Dawson Knox,TE,2500,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
